Wall time,Step,Value
1755632197.7957706,0,-89791016.0
1755632218.7720027,1,-75459576.0
1755632239.7375689,2,-64542960.0
1755632259.9212432,3,-56906460.0
1755632280.1176667,4,-52396288.0
1755632300.446,5,-48700344.0
1755632320.753757,6,-47276108.0
1755632341.0353556,7,-46389280.0
1755632361.4419458,8,-45566320.0
1755632382.0630493,9,-45069716.0
1755632402.5843155,10,-44708572.0
1755632422.1436582,11,-44602356.0
1755632442.468465,12,-44741564.0
1755632462.2706501,13,-44615324.0
1755632482.0805001,14,-44485860.0
1755632501.1741056,15,-44720464.0
1755632520.2688184,16,-44618092.0
1755632539.4715078,17,-44900900.0
1755632558.8860111,18,-44703336.0
1755632578.3960633,19,-44797204.0
1755632597.7453606,20,-44687908.0
1755632617.1680202,21,-44630852.0
1755632635.5092657,22,-44732340.0
1755632654.3734398,23,-44676552.0
1755632673.6421063,24,-44787916.0
